payment_id,amount,currency,failure_code,failure_message,customer_success_rate,previous_failures,previous_recovery_attempts,previous_recovery_action,previous_outcome,customer_engagement,time_since_failure_minutes,remaining_recovery_opportunities,true_failure_type
PAY_SIM_000070,1165.68,INR,,The payment gateway timed out while contacting the bank.,0.231,0,0,,,NONE,782,3,BANK_TIMEOUT
PAY_SIM_000071,400.62,INR,GATEWAY_TIMEOUT,,0.232,1,1,SEND_RECOVERY_LINK,FAILED,NONE,609,2,BANK_TIMEOUT
PAY_SIM_000072,836.57,INR,OTP_FAILED,,0.872,0,0,,,NONE,718,3,AUTH_FAILURE
PAY_SIM_000073,4381.43,INR,CARD_DECLINED,,0.88,3,0,,,NONE,2703,3,CARD_DECLINED
PAY_SIM_000074,1692.08,INR,,The payment gateway timed out while contacting the bank.,0.873,0,0,,,NONE,2598,3,BANK_TIMEOUT
PAY_SIM_000075,2009.33,INR,,An unexpected error occurred while processing the transaction.,0.458,1,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,940,2,PROCESSING_ERROR
PAY_SIM_000076,476.77,INR,,Do not honor - card declined by issuing bank.,0.811,0,0,,,NONE,386,3,CARD_DECLINED
PAY_SIM_000077,2338.43,INR,3DS_FAILED,,0.797,1,1,RETRY_PAYMENT,FAILED,NONE,1183,2,AUTH_FAILURE
PAY_SIM_000078,513.74,INR,CARD_DECLINED,,0.683,0,0,,,NONE,2551,3,CARD_DECLINED
PAY_SIM_000079,4777.42,INR,INSUFFICIENT_FUNDS,,0.077,0,0,,,NONE,591,3,INSUFFICIENT_FUNDS
PAY_SIM_000080,1982.7,INR,,The account does not have sufficient balance to complete this payment.,0.611,3,0,,,NONE,220,3,INSUFFICIENT_FUNDS
PAY_SIM_000081,506.67,INR,INSUFFICIENT_FUNDS,,0.652,0,0,,,NONE,1165,3,INSUFFICIENT_FUNDS
PAY_SIM_000082,1104.02,INR,BANK_503,,0.144,0,0,,,NONE,36,3,BANK_TIMEOUT
PAY_SIM_000083,3901.4,INR,DO_NOT_HONOR,,0.92,0,0,,,NONE,323,3,CARD_DECLINED
PAY_SIM_000084,1516.96,INR,INSUFFICIENT_FUNDS,,0.057,2,2,RETRY_PAYMENT,FAILED,NONE,1793,1,INSUFFICIENT_FUNDS
PAY_SIM_000085,1359.43,INR,,The card issuer declined this transaction.,0.659,0,0,,,NONE,1436,3,CARD_DECLINED
PAY_SIM_000086,787.49,INR,ISSUER_TIMEOUT,,0.487,1,0,,,NONE,2314,3,BANK_TIMEOUT
PAY_SIM_000087,7020.46,INR,INSUFFICIENT_FUNDS,,0.414,1,0,,,NONE,308,3,INSUFFICIENT_FUNDS
PAY_SIM_000088,583.6,INR,DO_NOT_HONOR,,0.529,1,0,,,NONE,2346,3,CARD_DECLINED
PAY_SIM_000089,8707.73,INR,DO_NOT_HONOR,,0.593,0,0,,,NONE,1495,3,CARD_DECLINED
PAY_SIM_000090,2581.82,INR,AUTH_FAILURE,,0.689,0,0,,,NONE,2694,3,AUTH_FAILURE
PAY_SIM_000091,2168.64,INR,,The card issuer declined this transaction.,0.326,1,1,SUGGEST_ALTERNATIVE_METHOD,FAILED,LINK_SENT,2640,2,CARD_DECLINED
PAY_SIM_000092,1441.6,INR,INSUFFICIENT_FUNDS,,0.632,0,0,,,NONE,568,3,INSUFFICIENT_FUNDS
PAY_SIM_000093,2409.46,INR,DO_NOT_HONOR,,0.481,0,0,,,NONE,2563,3,CARD_DECLINED
PAY_SIM_000094,725.45,INR,GATEWAY_TIMEOUT,,0.799,3,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,2341,2,BANK_TIMEOUT
PAY_SIM_000095,1825.18,INR,3DS_FAILED,,0.261,0,0,,,NONE,1525,3,AUTH_FAILURE
PAY_SIM_000096,326.28,INR,,3DS authentication was not completed successfully.,0.64,3,0,,,NONE,1852,3,AUTH_FAILURE
PAY_SIM_000097,1817.03,INR,BANK_503,,0.058,1,0,,,NONE,1180,3,BANK_TIMEOUT
PAY_SIM_000098,1553.8,INR,,The account does not have sufficient balance to complete this payment.,0.395,0,0,,,NONE,981,3,INSUFFICIENT_FUNDS
PAY_SIM_000099,6439.97,INR,ISSUER_TIMEOUT,,0.5,0,0,,,NONE,1450,3,BANK_TIMEOUT
PAY_SIM_000100,1937.8,INR,INSUFFICIENT_FUNDS,,0.954,0,0,,,NONE,1534,3,INSUFFICIENT_FUNDS
PAY_SIM_000101,5898.65,INR,DO_NOT_HONOR,,0.761,0,0,,,NONE,722,3,CARD_DECLINED
PAY_SIM_000102,4726.99,INR,INSUFFICIENT_FUNDS,,0.56,0,0,,,NONE,200,3,INSUFFICIENT_FUNDS
PAY_SIM_000103,1482.81,INR,OTP_FAILED,,0.586,1,0,,,NONE,2131,3,AUTH_FAILURE
PAY_SIM_000104,5368.23,INR,GATEWAY_TIMEOUT,,0.833,0,0,,,NONE,1750,3,BANK_TIMEOUT
PAY_SIM_000105,5316.33,INR,BANK_503,,0.28,1,1,SEND_RECOVERY_LINK,FAILED,LINK_OPENED,2782,2,BANK_TIMEOUT
PAY_SIM_000106,2777.94,INR,BANK_503,,0.371,0,0,,,NONE,1508,3,BANK_TIMEOUT
PAY_SIM_000107,2663.3,INR,,An unexpected error occurred while processing the transaction.,0.183,1,1,WAIT_AND_REASSESS,FAILED,NONE,824,2,PROCESSING_ERROR
PAY_SIM_000108,4353.37,INR,BANK_503,,0.641,1,0,,,NONE,1485,3,BANK_TIMEOUT
PAY_SIM_000109,677.32,INR,,3DS authentication was not completed successfully.,0.465,0,0,,,NONE,274,3,AUTH_FAILURE
PAY_SIM_000110,32054.84,INR,CARD_DECLINED,,0.166,1,0,,,NONE,2263,3,CARD_DECLINED
PAY_SIM_000111,782.61,INR,,Do not honor - card declined by issuing bank.,0.214,3,1,RETRY_PAYMENT,FAILED,NONE,1031,2,CARD_DECLINED
PAY_SIM_000112,814.38,INR,,The payment gateway timed out while contacting the bank.,0.431,1,1,RETRY_PAYMENT,FAILED,NONE,121,2,BANK_TIMEOUT
PAY_SIM_000113,4287.64,INR,INSUFFICIENT_FUNDS,,0.526,3,0,,,NONE,2810,3,INSUFFICIENT_FUNDS
PAY_SIM_000114,1343.03,INR,BANK_503,,0.493,0,0,,,NONE,995,3,BANK_TIMEOUT
PAY_SIM_000115,5890.17,INR,BANK_503,,0.586,0,0,,,NONE,1917,3,BANK_TIMEOUT
PAY_SIM_000116,1247.41,INR,,The payment gateway timed out while contacting the bank.,0.767,1,1,WAIT_AND_REASSESS,FAILED,NONE,1175,2,BANK_TIMEOUT
PAY_SIM_000117,897.14,INR,,The payment gateway timed out while contacting the bank.,0.828,0,0,,,NONE,1587,3,BANK_TIMEOUT
PAY_SIM_000118,3287.64,INR,3DS_FAILED,,0.345,1,0,,,NONE,595,3,AUTH_FAILURE
PAY_SIM_000119,5963.17,INR,GATEWAY_TIMEOUT,,0.55,0,0,,,NONE,2530,3,BANK_TIMEOUT
PAY_SIM_000120,1874.19,INR,,The card issuer declined this transaction.,0.93,0,0,,,NONE,1265,3,CARD_DECLINED
PAY_SIM_000121,500.35,INR,INSUFFICIENT_FUNDS,,0.372,1,1,WAIT_AND_REASSESS,FAILED,NONE,610,2,INSUFFICIENT_FUNDS
PAY_SIM_000122,1493.04,INR,ISSUER_TIMEOUT,,0.475,0,0,,,NONE,260,3,BANK_TIMEOUT
PAY_SIM_000123,3446.6,INR,DO_NOT_HONOR,,0.504,1,1,SUGGEST_ALTERNATIVE_METHOD,FAILED,LINK_SENT,792,2,CARD_DECLINED
PAY_SIM_000124,6441.76,INR,ISSUER_TIMEOUT,,0.29,0,0,,,NONE,1125,3,BANK_TIMEOUT
PAY_SIM_000125,1037.85,INR,DO_NOT_HONOR,,0.674,0,0,,,NONE,2211,3,CARD_DECLINED
PAY_SIM_000126,3066.63,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.356,0,0,,,NONE,1939,3,BANK_TIMEOUT
PAY_SIM_000127,20279.89,INR,PROCESSING_ERROR,,0.352,0,0,,,NONE,371,3,PROCESSING_ERROR
PAY_SIM_000128,8568.76,INR,AUTH_FAILURE,,0.482,3,0,,,NONE,2631,3,AUTH_FAILURE
PAY_SIM_000129,1677.8,INR,,Customer failed OTP verification during checkout.,0.283,0,0,,,NONE,1213,3,AUTH_FAILURE
PAY_SIM_000130,2808.32,INR,INSUFFICIENT_FUNDS,,0.542,3,0,,,NONE,1021,0,INSUFFICIENT_FUNDS
PAY_SIM_000131,6169.74,INR,,The account does not have sufficient balance to complete this payment.,0.882,0,0,,,NONE,2063,3,INSUFFICIENT_FUNDS
PAY_SIM_000132,1311.85,INR,,The account does not have sufficient balance to complete this payment.,0.573,2,1,SEND_RECOVERY_LINK,FAILED,LINK_OPENED,2791,2,INSUFFICIENT_FUNDS
PAY_SIM_000133,1965.11,INR,DO_NOT_HONOR,,0.851,0,0,,,NONE,1814,3,CARD_DECLINED
PAY_SIM_000134,2002.88,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.523,0,0,,,NONE,94,3,BANK_TIMEOUT
PAY_SIM_000135,488.29,INR,DO_NOT_HONOR,,0.241,1,1,WAIT_AND_REASSESS,FAILED,NONE,1538,2,CARD_DECLINED
PAY_SIM_000136,5011.91,INR,,Do not honor - card declined by issuing bank.,0.633,0,0,,,NONE,917,3,CARD_DECLINED
PAY_SIM_000137,3706.9,INR,CARD_DECLINED,,0.48,0,0,,,NONE,467,0,CARD_DECLINED
PAY_SIM_000138,242.03,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.852,0,0,,,NONE,236,3,BANK_TIMEOUT
PAY_SIM_000139,3433.91,INR,3DS_FAILED,,0.678,0,0,,,NONE,910,3,AUTH_FAILURE
PAY_SIM_000140,2738.27,INR,PROCESSING_ERROR,,0.34,0,0,,,NONE,1546,3,PROCESSING_ERROR
PAY_SIM_000141,499.75,INR,AUTH_FAILURE,,0.673,1,0,,,NONE,999,3,AUTH_FAILURE
PAY_SIM_000142,3051.94,INR,PROCESSING_ERROR,,0.334,0,0,,,NONE,2755,3,PROCESSING_ERROR
PAY_SIM_000143,4813.64,INR,,Do not honor - card declined by issuing bank.,0.212,2,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,985,2,CARD_DECLINED
PAY_SIM_000144,2713.0,INR,CARD_DECLINED,,0.465,1,1,SUGGEST_ALTERNATIVE_METHOD,FAILED,LINK_CLICKED,1523,2,CARD_DECLINED
PAY_SIM_000145,3185.5,INR,,The account does not have sufficient balance to complete this payment.,0.58,0,0,,,NONE,2810,3,INSUFFICIENT_FUNDS
PAY_SIM_000146,3056.13,INR,,An unexpected error occurred while processing the transaction.,0.537,0,0,,,NONE,2225,3,PROCESSING_ERROR
PAY_SIM_000147,283.61,INR,AUTH_FAILURE,,0.357,0,0,,,NONE,2530,3,AUTH_FAILURE
PAY_SIM_000148,1995.45,INR,ISSUER_TIMEOUT,,0.334,2,2,RETRY_PAYMENT,FAILED,NONE,399,1,BANK_TIMEOUT
PAY_SIM_000149,4071.91,INR,CARD_DECLINED,,0.522,3,0,,,NONE,2806,3,CARD_DECLINED
PAY_SIM_000150,1086.41,INR,ISSUER_TIMEOUT,,0.353,1,1,RETRY_PAYMENT,FAILED,NONE,2168,2,BANK_TIMEOUT
PAY_SIM_000151,1722.46,INR,,3DS authentication was not completed successfully.,0.664,0,0,,,NONE,2409,3,AUTH_FAILURE
PAY_SIM_000152,758.48,INR,PROCESSING_ERROR,,0.454,0,0,,,NONE,2828,3,PROCESSING_ERROR
PAY_SIM_000153,866.19,INR,ISSUER_TIMEOUT,,0.575,0,0,,,NONE,1542,3,BANK_TIMEOUT
PAY_SIM_000154,3747.73,INR,CARD_DECLINED,,0.517,1,0,,,NONE,1600,3,CARD_DECLINED
PAY_SIM_000155,1167.96,INR,PROCESSING_ERROR,,0.284,0,0,,,NONE,372,3,PROCESSING_ERROR
PAY_SIM_000156,376.2,INR,OTP_FAILED,,0.655,0,0,,,NONE,2812,3,AUTH_FAILURE
PAY_SIM_000157,810.54,INR,BANK_503,,0.237,3,1,WAIT_AND_REASSESS,FAILED,NONE,2437,2,BANK_TIMEOUT
PAY_SIM_000158,6427.4,INR,DO_NOT_HONOR,,0.684,2,1,SEND_RECOVERY_LINK,FAILED,NONE,2475,2,CARD_DECLINED
PAY_SIM_000159,1363.7,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.744,1,0,,,NONE,2314,3,BANK_TIMEOUT
PAY_SIM_000160,13517.1,INR,INSUFFICIENT_FUNDS,,0.539,1,1,WAIT_AND_REASSESS,FAILED,NONE,2761,2,INSUFFICIENT_FUNDS
PAY_SIM_000161,583.25,INR,GATEWAY_TIMEOUT,,0.4,0,0,,,NONE,2838,3,BANK_TIMEOUT
PAY_SIM_000162,7714.89,INR,INSUFFICIENT_FUNDS,,0.605,1,1,WAIT_AND_REASSESS,FAILED,NONE,1363,2,INSUFFICIENT_FUNDS
PAY_SIM_000163,227.62,INR,BANK_503,,0.721,0,0,,,NONE,2833,3,BANK_TIMEOUT
PAY_SIM_000164,3520.86,INR,CARD_DECLINED,,0.424,0,0,,,NONE,1858,3,CARD_DECLINED
PAY_SIM_000165,1296.62,INR,GATEWAY_TIMEOUT,,0.56,1,0,,,NONE,1751,3,BANK_TIMEOUT
PAY_SIM_000166,321.52,INR,INSUFFICIENT_FUNDS,,0.649,1,1,RETRY_PAYMENT,FAILED,NONE,2204,2,INSUFFICIENT_FUNDS
PAY_SIM_000167,3398.14,INR,ISSUER_TIMEOUT,,0.737,0,0,,,NONE,2764,3,BANK_TIMEOUT
PAY_SIM_000168,2901.22,INR,INSUFFICIENT_FUNDS,,0.442,0,0,,,NONE,2359,3,INSUFFICIENT_FUNDS
PAY_SIM_000169,1767.4,INR,DO_NOT_HONOR,,0.791,0,0,,,NONE,1577,3,CARD_DECLINED
PAY_SIM_000170,1713.22,INR,DO_NOT_HONOR,,0.455,0,0,,,NONE,925,3,CARD_DECLINED
PAY_SIM_000171,5009.48,INR,CARD_DECLINED,,0.668,3,0,,,NONE,175,3,CARD_DECLINED
PAY_SIM_000172,3552.38,INR,,An unexpected error occurred while processing the transaction.,0.474,1,0,,,NONE,2413,3,PROCESSING_ERROR
PAY_SIM_000173,766.56,INR,ISSUER_TIMEOUT,,0.431,0,0,,,NONE,1203,3,BANK_TIMEOUT
PAY_SIM_000174,2627.96,INR,PROCESSING_ERROR,,0.709,1,1,WAIT_AND_REASSESS,FAILED,NONE,587,2,PROCESSING_ERROR
PAY_SIM_000175,4228.97,INR,CARD_DECLINED,,0.672,2,1,RETRY_PAYMENT,FAILED,NONE,1882,2,CARD_DECLINED
PAY_SIM_000176,6082.7,INR,,3DS authentication was not completed successfully.,0.397,2,1,RETRY_PAYMENT,FAILED,NONE,193,2,AUTH_FAILURE
PAY_SIM_000177,92.07,INR,BANK_503,,0.352,0,0,,,NONE,2869,3,BANK_TIMEOUT
PAY_SIM_000178,738.24,INR,INSUFFICIENT_FUNDS,,0.836,0,0,,,NONE,424,3,INSUFFICIENT_FUNDS
PAY_SIM_000179,14626.27,INR,ISSUER_TIMEOUT,,0.528,0,0,,,NONE,1807,3,BANK_TIMEOUT
PAY_SIM_000180,1062.56,INR,BANK_503,,0.214,3,0,,,NONE,577,3,BANK_TIMEOUT
PAY_SIM_000181,2924.67,INR,CARD_DECLINED,,0.447,0,0,,,NONE,2092,3,CARD_DECLINED
PAY_SIM_000182,3747.41,INR,3DS_FAILED,,0.381,2,0,,,NONE,1484,3,AUTH_FAILURE
PAY_SIM_000183,2009.71,INR,DO_NOT_HONOR,,0.818,0,0,,,NONE,252,3,CARD_DECLINED
PAY_SIM_000184,1814.18,INR,INSUFFICIENT_FUNDS,,0.674,0,0,,,NONE,641,3,INSUFFICIENT_FUNDS
PAY_SIM_000185,143.59,INR,DO_NOT_HONOR,,0.311,1,1,SEND_RECOVERY_LINK,FAILED,NONE,567,2,CARD_DECLINED
PAY_SIM_000186,12239.71,INR,CARD_DECLINED,,0.123,0,0,,,NONE,1119,3,CARD_DECLINED
PAY_SIM_000187,1847.41,INR,DO_NOT_HONOR,,0.589,0,0,,,NONE,55,3,CARD_DECLINED
PAY_SIM_000188,5843.25,INR,,An unexpected error occurred while processing the transaction.,0.186,0,0,,,NONE,220,3,PROCESSING_ERROR
PAY_SIM_000189,395.13,INR,,An unexpected error occurred while processing the transaction.,0.501,0,0,,,NONE,2314,3,PROCESSING_ERROR
PAY_SIM_000190,2544.07,INR,DO_NOT_HONOR,,0.818,0,0,,,NONE,44,3,CARD_DECLINED
PAY_SIM_000191,2917.59,INR,,3DS authentication was not completed successfully.,0.545,3,1,RETRY_PAYMENT,FAILED,NONE,184,2,AUTH_FAILURE
PAY_SIM_000192,282.46,INR,INSUFFICIENT_FUNDS,,0.652,0,0,,,NONE,2875,3,INSUFFICIENT_FUNDS
PAY_SIM_000193,660.73,INR,,The payment gateway timed out while contacting the bank.,0.853,0,0,,,NONE,2200,3,BANK_TIMEOUT
PAY_SIM_000194,1092.4,INR,,Do not honor - card declined by issuing bank.,0.153,0,0,,,NONE,1347,3,CARD_DECLINED
PAY_SIM_000195,537.03,INR,,The card issuer declined this transaction.,0.821,1,0,,,NONE,257,3,CARD_DECLINED
PAY_SIM_000196,994.23,INR,,The payment gateway timed out while contacting the bank.,0.85,0,0,,,NONE,532,3,BANK_TIMEOUT
PAY_SIM_000197,7420.32,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.71,0,0,,,NONE,1131,3,BANK_TIMEOUT
PAY_SIM_000198,3380.69,INR,INSUFFICIENT_FUNDS,,0.535,0,0,,,NONE,2637,3,INSUFFICIENT_FUNDS
PAY_SIM_000199,4146.81,INR,,An unexpected error occurred while processing the transaction.,0.612,0,0,,,NONE,1155,3,PROCESSING_ERROR
PAY_SIM_000200,200.52,INR,3DS_FAILED,,0.192,0,0,,,NONE,716,3,AUTH_FAILURE
PAY_SIM_000201,2379.72,INR,INSUFFICIENT_FUNDS,,0.442,0,0,,,NONE,901,0,INSUFFICIENT_FUNDS
